EventDate,Period,Page number (if applic),Recipient name (original transcription),Nature of recipient (original transcription),Name,Institution - common name from Exit Books,Town/City,Level of study ,School type,Denomination/organisation,No. of objects,Event information (any extra information not in list of specimens),BHL Exit Book Link,BHL School Letter Book Link (Vol 1 only)
09.03.1911,1876-1914,121,Mr F E Henderson,"Junior County School, Ellesmere Port, Cheshire","Henderson, F E",Junior County School,Ellesmere Port,Elementary ,Board,,35,,https://biodiversitylibrary.org/page/57407638,
10.03.1911,1876-1914,121,Mr John T Skelton,"Kew Road Wesleyan School, Richmond","Skelton, John T","Wesleyan School, Kew",London,Elementary ,Voluntary,Wesleyan ,50,,https://biodiversitylibrary.org/page/57407638,
14.03.1911,1876-1914,121,"J T Riley Esq, Secretary to the Education Committee","Education Offices, Albion St, Hull","Riley, J T",Hull Education Committee,Hull,,Board,,250,,https://biodiversitylibrary.org/page/57407638,
16.03.1911,1876-1914,122,"R Blair Esq, Education Officer","London County Council, Education Offices, Victoria Embankment WC","Blair, R",London County Council,London,,Board,,1400,,https://biodiversitylibrary.org/page/57407639,
16.03.1911,1876-1914,122,Miss Wilkinson,"Suttons School, Gunnersbury",Wilkinson,Suttons School,London,Elementary ,Private,,36,,https://biodiversitylibrary.org/page/57407639,
05.04.1911,1876-1914,122,"W W Finny Esq, Secretary","Surrey Education Committee, Penrhyn Road, Kingston-upon-Thames","Finny, W W",Surrey Education Committee,Kingston-upon-Thames,,Board,,440,,https://biodiversitylibrary.org/page/57407639,
19.09.1911,1876-1914,125,Mr J W H Chubb,"Holland St School, MT Dept, Lambeth North","Chubb, J W H",Holland Street School,London,Elementary ,SEN,,16,Sixteen specimens of British-grown woods as under,https://biodiversitylibrary.org/page/57407642,
19.09.1911,1876-1914,125,Mr C Morley,"Oliver Goldsmith School, MT Dept, Peckham Rd, Camberwell","Morley, C",Oliver Goldsmith School,London,Unknown,Unknown,,16,,https://biodiversitylibrary.org/page/57407642,
19.09.1911,1876-1914,125,Mr Herbert E Gibbs,"Victoria Place School, Handicraft Centre, Barnsbury, N","Gibbs, Herbert E",Victoria Place School,London,Unknown,Unknown,,16,,https://biodiversitylibrary.org/page/57407642,
26.09.1911,1876-1914,126,J W Lomas Esq,"Childerley St Central School, Fulham SW","Lomas, J W",Childerley Street Central School,London,Secondary ,Board,,19,,https://biodiversitylibrary.org/page/57407643,
28.09.1911,1876-1914,126,Mr Gill,"Cuckoo Schools, Greenford Avenue, Hanwell",Gill,Cuckoo Schools,Hanwell,Elementary ,Union,,35,,https://biodiversitylibrary.org/page/57407643,
02.10.1911,1876-1914,126,F Sturch Esq,"County School for Boys, Richmond","Sturch, F",County School for Boys,London,Secondary ,Board,,20,,https://biodiversitylibrary.org/page/57407643,
27.10.1911,1876-1914,127,J Rennie Parsons,"RCC School, Mowlem St, Bethnal Green, NE","Parsons, J Rennie",RCC School,London,Elementary ,Board,,18,,https://biodiversitylibrary.org/page/57407644,
07.12.1911,1876-1914,129,A H Tilbury Esq,"King's Sutton School, Banbury","Tilbury, A H",King's Sutton School,Banbury,Elementary ,Board,,30,,https://biodiversitylibrary.org/page/57407646,
11.12.1911,1876-1914,129,Cecil R Porrett Esq,"Woodwork Dept, Higher Elementary School, Twerton, Bath","Porrett, Cecil R",Higher Elementary School,Bath,Secondary ,Board,,13,,https://biodiversitylibrary.org/page/57407646,
14.12.1911,1876-1914,129,C R Wedgewood Esq,"Battersea Park Rd Council School (Handicraft Dept), Battersea Park Rd, SW","Wedgewood,  C R",Battersea Park Road Council School,London,Elementary ,Board,,13,,https://biodiversitylibrary.org/page/57407646,
16.12.1911,1876-1914,129,Prof H Pabisch,"VI Grasgasse 5, Wien, Austria","Pabisch, Heinrich, Professor",Handelsschule,Vienna,Secondary ,Private,,2,,https://biodiversitylibrary.org/page/57407646,
08.02.1912,1876-1914,131,J T Houghton,"Public Library and Technical School, Worksop","Houghton, J T",Public Library and Technical School,Worksop,,Board,,37,,https://biodiversitylibrary.org/page/57407648,
24.02.1912,1876-1914,133,J T Houghton,"Public Library & Technical School, Worksop","Houghton, J T",Public Library and Technical School,Worksop,,Board,,1,,https://biodiversitylibrary.org/page/57407650,
01.03.1912,1876-1914,133,H F Broadrith,"Plassey Rd LCC School, Rushey Green SE","Broadrith, H F",Plassey Road LCC School,London,Elementary ,Board,,21,,https://biodiversitylibrary.org/page/57407650,
07.03.1912,1876-1914,133,W Hussey Esq,"Mina Rd Central School (Handicrafts Dept), Old Kent Rd SE","Hussey, W",Mina Road Central School,London,Secondary ,Board,,21,,https://biodiversitylibrary.org/page/57407650,
13.03.1912,1876-1914,133,Edward Woolford Esq,"Orange St LCC School, Handicrafts Dept, Boro","Woolford, Edward",Orange Street LCC School,London,Elementary ,Board,,17,,https://biodiversitylibrary.org/page/57407650,
27.09.1912,1876-1914,135,A E Barker Esq,"The Secondary School, Ross-on-Wye","Barker, A E",The Secondary School,Ross on Wye,Secondary ,Endowed/grammar ,,42,,https://biodiversitylibrary.org/page/57407652,
27.09.1912,1876-1914,135,Miss Mieklejon (Miss Wardill),"School for the Blind, 48 Kenilworth Road, St Leonards","Meiklejon, Jennie",School for the Blind,St Leonards,Elementary ,SEN,,24,,https://biodiversitylibrary.org/page/57407652,
08.10.1912,1876-1914,136,J W Lomas Esq,"Childerley St Central School (M T Dept), Fulham SW","Lomas, J W",Childerley Street Central School,London,Secondary ,Board,,29,Ack Oct 9th 1912,https://biodiversitylibrary.org/page/57407653,
18.10.1912,1876-1914,136,"S Goodall Esq, Head Teacher","Thornton Hough CE School, Chester","Goodall, S",Thornton Hough CE School,Chester,Elementary ,Voluntary,Church of England ,34,,https://biodiversitylibrary.org/page/57407653,
01.11.1912,1876-1914,136,James Boorman Esq,"LCC Shoreditch Technical School, Pitfield St, London N","Boorman, James",LCC Shoreditch Technical School,London,Elementary ,Technical/vocational ,London County Council,13,,https://biodiversitylibrary.org/page/57407653,
01.11.1912,1876-1914,136,James S Warren,"CE School, Neston, Cheshire","Warren, James S",CE School,Heston,Elementary ,Voluntary,Church of England ,25,,https://biodiversitylibrary.org/page/57407653,
06.03.1913,1876-1914,137,W F Rankine Esq,"Badshot Lea C School, Surrey","Rankine, W F",Badshot Lea C School,Farnham,Elementary ,Voluntary,Church of England ,18,,https://biodiversitylibrary.org/page/57407654,
28.11.1913,1876-1914,141,Chas J Webb,"Manual Instruction Centre, Bury St Edmunds","Webb, Charles J",Manual Instruction Centre,Bury St Edmonds,Elementary ,Technical/vocational ,,10,,https://biodiversitylibrary.org/page/57407658,
05.02.1914,1876-1914,143,H Rowland Esq,"Puller Memorial School, High Cross, Ware","Rowland, H",Puller Memorial School,Ware,Elementary ,Voluntary,Church of England ,15,,https://biodiversitylibrary.org/page/57407660,
04.05.1916,1915-1938,147,Mr John A Dell,"8 Botham Crescent, York","Dell, John A",Bootham School,York,Secondary ,Private,Quaker,38,,https://biodiversitylibrary.org/page/57407664,
11.09.1916,1915-1938,147,C J Smith Esq,"Britannia School, Bacup","Smith, C J",Britannia School,Bacup,Elementary ,Board,,10,,https://biodiversitylibrary.org/page/57407664,
13.03.1917,1915-1938,148,Miss F E Henderson,"Camb Rd. Council School (Junior Dept.), Ellesmere Port, Cheshire","Henderson, F E",Cambridge Road Council Girls School,Ellesmere Port,Elementary ,Board,,46,,https://biodiversitylibrary.org/page/57407665,
